name,url
Prime Number Finding,primenumber_finding
Find Fibonacci Numbers,fibonacci_finding
Find Twisted Primes,twisted_prime_finding
Find Buzz Numbers,buzz_number
Find the Harshad Numbers,harshad_finding
Find the Armstrong Numbers,armstrong_finding
Find Happy Numbers,happy_number
Find SPY Number,spy_number
Find Circular Prime Number,circularprime_number
Find Disaurium Number,disaurium_number
Find Ugly Numbers,ugly_numbers
Find Automorphic Number,automorphic_finding_number
Find Pronic Number,pronic_number
Find Polygonal Numbers,polygonal_number
Find Factorial Numbers,factorial_number
Find Cubic Number,cubic_number
Find Perfect Square,perfect_square
Find Narcissistic Number,narcissistic_numbers
Find Keith Number,keith_number
Find Permutable Prime Number,permutable_prime
Find Aliquot Number,aliquot_number
Find Palindromic Number,palindromic_number
Find Squarefull Number,squarefull_number




